GRANT_CARD_CODE,TAP_IN,TAP_OUT,TIME_IN,TIME_OUT
46790580,114,248,444,479
21239468,274,266,819,935
14666778,129,50,971,1030
39339229,229,37,532,578
88728380,37,50,912,927
3820307,8,45,799,833
72884068,122,38,1205,1231
16443692,37,50,913,925
84347101,4,44,801,849
54067496,138,50,560,595
30036899,162,44,555,593
5457117,2,50,618,664
61086730,59,37,401,439
22883112,131,36,398,451
79533321,27,47,727,771
25704473,16,38,1176,1197
19241956,243,261,1145,1187
89220617,257,255,477,523
67585824,260,255,490,523
53485835,48,265,625,698
86422438,21,261,1137,1187
17906919,229,248,471,510
68135310,47,226,1019,1045
28232711,245,258,1005,1037
35863585,266,256,407,453
32669649,111,258,407,441
79269821,167,248,465,509
47575108,169,254,569,610
49063846,253,226,1028,1045
69595983,59,255,442,523
71193984,248,259,1212,1233
15538233,248,108,571,586
18597117,24,254,767,843
14191778,23,255,871,934
44291695,225,258,1163,1194
50195711,217,265,629,690
62533741,226,259,693,713
4136962,261,265,1077,1096
15621208,210,253,1082,1130
89510144,230,248,623,681
68907562,96,265,1010,1096
75339786,227,248,665,681
85926222,263,260,1288,1308
17509035,5,265,876,987
32255784,266,259,1095,1123
79932244,261,252,475,519
16585511,228,262,688,744
89744750,262,253,514,561
13866554,245,265,1045,1096
80181331,249,258,581,603
14153366,111,258,996,1037
16367758,203,261,952,1034
50015903,252,257,1154,1183
54345833,160,253,1196,1216
72493561,112,252,420,454
46358917,99,266,986,1069
75215686,253,248,1165,1190
1073988,43,265,377,454
43267214,258,254,420,448
15658645,140,261,853,933
15737643,257,248,531,542
33216377,246,262,1026,1060
52498468,193,44,423,456
26985559,157,43,738,771
7835619,10,35,1177,1196
12684490,49,44,396,410
12639324,37,38,1271,1279
21035219,230,40,392,434
13628723,8,35,719,746
71111802,43,35,393,422
79535450,6,40,805,832
44256927,78,45,363,402
49368917,199,35,1100,1195
87039718,12,43,815,835
19488909,54,37,546,595
34063858,47,37,737,756
66948812,229,35,892,927
54130938,37,38,1186,1195
50067237,248,252,475,498
43836200,244,160,703,744
48563111,248,257,1325,1337
